COUNTDUMS,halfyear,f0LNGDP,f1LNGDP,f2LNGDP,f3LNGDP,f4LNGDP,f5LNGDP,f6LNGDP,f7LNGDP,f8LNGDP,f9LNGDP,f10LNGDP,CRISIS,l1LNGDP,l2LNGDP,l3LNGDP,l4LNGDP,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS
2,45,1215.263408845859,1215.020655531962,1217.527252818973,1219.370672722315,1217.335850315151,1219.197369160706,1219.832102208645,1220.888425320934,1222.981505958584,1223.136923841942,1224.029901844822,0,1212.962376785615,1213.665300315913,1213.359025693081,1212.784231131731,0,0,0,0
2,46,1215.020655531962,1217.527252818973,1219.370672722315,1217.335850315151,1219.197369160706,1219.832102208645,1220.888425320934,1222.981505958584,1223.136923841942,1224.029901844822,1226.044461265019,0,1215.263408845859,1212.962376785615,1213.665300315913,1213.359025693081,0,0,0,0
2,47,1217.527252818973,1219.370672722315,1217.335850315151,1219.197369160706,1219.832102208645,1220.888425320934,1222.981505958584,1223.136923841942,1224.029901844822,1226.044461265019,1226.84686347721,0,1215.020655531962,1215.263408845859,1212.962376785615,1213.665300315913,0,0,0,0
2,48,1219.370672722315,1217.335850315151,1219.197369160706,1219.832102208645,1220.888425320934,1222.981505958584,1223.136923841942,1224.029901844822,1226.044461265019,1226.84686347721,1229.670833246008,0,1217.527252818973,1215.020655531962,1215.263408845859,1212.962376785615,0,0,0,0
2,49,1217.335850315151,1219.197369160706,1219.832102208645,1220.888425320934,1222.981505958584,1223.136923841942,1224.029901844822,1226.044461265019,1226.84686347721,1229.670833246008,1230.965125289598,0,1219.370672722315,1217.527252818973,1215.020655531962,1215.263408845859,0,0,0,0
2,50,1219.197369160706,1219.832102208645,1220.888425320934,1222.981505958584,1223.136923841942,1224.029901844822,1226.044461265019,1226.84686347721,1229.670833246008,1230.965125289598,1233.082818449113,0,1217.335850315151,1219.370672722315,1217.527252818973,1215.020655531962,0,0,0,0
2,51,1219.832102208645,1220.888425320934,1222.981505958584,1223.136923841942,1224.029901844822,1226.044461265019,1226.84686347721,1229.670833246008,1230.965125289598,1233.082818449113,1235.380014381748,0,1219.197369160706,1217.335850315151,1219.370672722315,1217.527252818973,0,0,0,0
2,52,1220.888425320934,1222.981505958584,1223.136923841942,1224.029901844822,1226.044461265019,1226.84686347721,1229.670833246008,1230.965125289598,1233.082818449113,1235.380014381748,1236.884405540585,0,1219.832102208645,1219.197369160706,1217.335850315151,1219.370672722315,0,0,0,0
2,53,1222.981505958584,1223.136923841942,1224.029901844822,1226.044461265019,1226.84686347721,1229.670833246008,1230.965125289598,1233.082818449113,1235.380014381748,1236.884405540585,1238.482751656836,0,1220.888425320934,1219.832102208645,1219.197369160706,1217.335850315151,0,0,0,0
2,54,1223.136923841942,1224.029901844822,1226.044461265019,1226.84686347721,1229.670833246008,1230.965125289598,1233.082818449113,1235.380014381748,1236.884405540585,1238.482751656836,1240.195710750704,0,1222.981505958584,1220.888425320934,1219.832102208645,1219.197369160706,0,0,0,0
